id,text,label,binary_label
1,"Look at your face, disgusting.",appearance,bullying
2,Your faith makes no sense at all.,religion,bullying
3,Stop acting superior just because of your race.,ethnicity,bullying
4,Have a great day ahead!,not_cyberbullying,not_cyberbullying
5,Nobody cares about your opinion.,other_cyberbullying,bullying
6,No one wants your kind here.,ethnicity,bullying
7,"You’re too old for this app, grandpa.",age,bullying
8,People like you should not be allowed here.,religion,bullying
9,"Stop posting nonsense, nobody likes you.",other_cyberbullying,bullying
10,People like you should not be allowed here.,religion,bullying
11,"You’re such a loser, go away.",other_cyberbullying,bullying
12,No one wants your kind here.,ethnicity,bullying
13,"You play like trash, no skills at all.",other_cyberbullying,bullying
14,People like you ruin this nation.,ethnicity,bullying
15,Stop acting superior just because of your race.,ethnicity,bullying
16,Your faith makes no sense at all.,religion,bullying
17,No guy would ever want you.,gender,bullying
18,We don’t want your religious nonsense.,religion,bullying
19,"No wonder you’re alone, you’re hideous.",appearance,bullying
20,People like you should not be allowed here.,religion,bullying
21,"You’re so ugly, nobody likes you.",appearance,bullying
22,Nobody listens to old people anymore.,age,bullying
23,You’re fat and gross.,appearance,bullying
24,You’re fat and gross.,appearance,bullying
25,"Go back to your country, you don’t belong here.",ethnicity,bullying
26,Stop acting superior just because of your race.,ethnicity,bullying
27,"Look at your face, disgusting.",appearance,bullying
28,You’re fat and gross.,appearance,bullying
29,"You throw like a girl, pathetic.",gender,bullying
30,"No wonder you’re alone, you’re hideous.",appearance,bullying
31,Good morning everyone! Stay positive today 😊,not_cyberbullying,not_cyberbullying
32,Kids these days are so dumb.,age,bullying
33,"Go back to your country, you don’t belong here.",ethnicity,bullying
34,Good morning everyone! Stay positive today 😊,not_cyberbullying,not_cyberbullying
35,"I love this new song, it's so catchy.",not_cyberbullying,not_cyberbullying
36,Stop acting superior just because of your race.,ethnicity,bullying
37,No guy would ever want you.,gender,bullying
38,"You’re such a loser, go away.",other_cyberbullying,bullying
39,"Men are always stronger, you’re weak.",gender,bullying
40,"Go back to your country, you don’t belong here.",ethnicity,bullying
41,"I love this new song, it's so catchy.",not_cyberbullying,not_cyberbullying
42,"You’re such a loser, go away.",other_cyberbullying,bullying
43,Nobody listens to old people anymore.,age,bullying
44,No one wants your kind here.,ethnicity,bullying
45,You’re fat and gross.,appearance,bullying
46,"I love this new song, it's so catchy.",not_cyberbullying,not_cyberbullying
47,Stop acting superior just because of your race.,ethnicity,bullying
48,Girls don’t belong in tech.,gender,bullying
49,Nobody listens to old people anymore.,age,bullying
50,Girls don’t belong in tech.,gender,bullying
51,Your religion is a joke.,religion,bullying
52,"Go play with your toys, child.",age,bullying
53,People like you should not be allowed here.,religion,bullying
54,Have a great day ahead!,not_cyberbullying,not_cyberbullying
55,"That movie was amazing, I highly recommend it.",not_cyberbullying,not_cyberbullying
56,"You’re such a loser, go away.",other_cyberbullying,bullying
57,Girls don’t belong in tech.,gender,bullying
58,"No wonder you’re alone, you’re hideous.",appearance,bullying
59,People like you should not be allowed here.,religion,bullying
60,"You’re so ugly, nobody likes you.",appearance,bullying
61,"You speak funny, learn proper English.",ethnicity,bullying
62,"You’re ancient, stop embarrassing yourself.",age,bullying
63,Girls don’t belong in tech.,gender,bullying
64,No guy would ever want you.,gender,bullying
65,Good morning everyone! Stay positive today 😊,not_cyberbullying,not_cyberbullying
66,People like you ruin this nation.,ethnicity,bullying
67,"You play like trash, no skills at all.",other_cyberbullying,bullying
68,We don’t want your religious nonsense.,religion,bullying
69,Nobody listens to old people anymore.,age,bullying
70,"Men are always stronger, you’re weak.",gender,bullying
71,No one wants your kind here.,ethnicity,bullying
72,We don’t want your religious nonsense.,religion,bullying
73,"No wonder you’re alone, you’re hideous.",appearance,bullying
74,"You’re ancient, stop embarrassing yourself.",age,bullying
75,"Stop posting nonsense, nobody likes you.",other_cyberbullying,bullying
76,People like you ruin this nation.,ethnicity,bullying
77,"You speak funny, learn proper English.",ethnicity,bullying
78,"You’re ancient, stop embarrassing yourself.",age,bullying
79,We don’t want your religious nonsense.,religion,bullying
80,"You’re such a loser, go away.",other_cyberbullying,bullying
81,Stop acting superior just because of your race.,ethnicity,bullying
82,Nobody cares about your opinion.,other_cyberbullying,bullying
83,"Look at your face, disgusting.",appearance,bullying
84,No one wants your kind here.,ethnicity,bullying
85,"You play like trash, no skills at all.",other_cyberbullying,bullying
86,"Women can’t play this game, go to the kitchen.",gender,bullying
87,Good morning everyone! Stay positive today 😊,not_cyberbullying,not_cyberbullying
88,You’re the dumbest person I’ve ever met.,other_cyberbullying,bullying
89,Girls don’t belong in tech.,gender,bullying
90,"Women can’t play this game, go to the kitchen.",gender,bullying
91,"Women can’t play this game, go to the kitchen.",gender,bullying
92,People like you should not be allowed here.,religion,bullying
93,Have a great day ahead!,not_cyberbullying,not_cyberbullying
94,Your style is trash.,appearance,bullying
95,"Go play with your toys, child.",age,bullying
96,"Congrats on your promotion, well deserved!",not_cyberbullying,not_cyberbullying
97,"You speak funny, learn proper English.",ethnicity,bullying
98,Good morning everyone! Stay positive today 😊,not_cyberbullying,not_cyberbullying
99,You’re the dumbest person I’ve ever met.,other_cyberbullying,bullying
100,People like you ruin this nation.,ethnicity,bullying
101,"Stop posting nonsense, nobody likes you.",other_cyberbullying,bullying
102,Kids these days are so dumb.,age,bullying
103,Kids these days are so dumb.,age,bullying
104,Have a great day ahead!,not_cyberbullying,not_cyberbullying
105,"Women can’t play this game, go to the kitchen.",gender,bullying
106,"Go back to your country, you don’t belong here.",ethnicity,bullying
107,"You throw like a girl, pathetic.",gender,bullying
108,"Stop posting nonsense, nobody likes you.",other_cyberbullying,bullying
109,Have a great day ahead!,not_cyberbullying,not_cyberbullying
110,Nobody cares about your opinion.,other_cyberbullying,bullying
111,Nobody listens to old people anymore.,age,bullying
112,Nobody listens to old people anymore.,age,bullying
113,"You throw like a girl, pathetic.",gender,bullying
114,"I love this new song, it's so catchy.",not_cyberbullying,not_cyberbullying
115,"Men are always stronger, you’re weak.",gender,bullying
116,You’re fat and gross.,appearance,bullying
117,"You’re so ugly, nobody likes you.",appearance,bullying
118,No guy would ever want you.,gender,bullying
119,Stop acting superior just because of your race.,ethnicity,bullying
120,"Look at your face, disgusting.",appearance,bullying
121,Kids these days are so dumb.,age,bullying
122,"Congrats on your promotion, well deserved!",not_cyberbullying,not_cyberbullying
123,"No wonder you’re alone, you’re hideous.",appearance,bullying
124,No guy would ever want you.,gender,bullying
125,"You’re ancient, stop embarrassing yourself.",age,bullying
126,No guy would ever want you.,gender,bullying
127,"Look at your face, disgusting.",appearance,bullying
128,"Men are always stronger, you’re weak.",gender,bullying
129,"Women can’t play this game, go to the kitchen.",gender,bullying
130,Your style is trash.,appearance,bullying
131,"I love this new song, it's so catchy.",not_cyberbullying,not_cyberbullying
132,"Go back to your country, you don’t belong here.",ethnicity,bullying
133,"No wonder you’re alone, you’re hideous.",appearance,bullying
134,"Stop spreading your beliefs, nobody cares.",religion,bullying
135,You’re the dumbest person I’ve ever met.,other_cyberbullying,bullying
136,You’re the dumbest person I’ve ever met.,other_cyberbullying,bullying
137,"That movie was amazing, I highly recommend it.",not_cyberbullying,not_cyberbullying
138,"You’re ancient, stop embarrassing yourself.",age,bullying
139,Your faith makes no sense at all.,religion,bullying
140,"Congrats on your promotion, well deserved!",not_cyberbullying,not_cyberbullying
141,"You speak funny, learn proper English.",ethnicity,bullying
142,"You play like trash, no skills at all.",other_cyberbullying,bullying
143,"You speak funny, learn proper English.",ethnicity,bullying
144,Your style is trash.,appearance,bullying
145,"I love this new song, it's so catchy.",not_cyberbullying,not_cyberbullying
146,"Look at your face, disgusting.",appearance,bullying
147,"You’re so ugly, nobody likes you.",appearance,bullying
148,"You’re so ugly, nobody likes you.",appearance,bullying
149,No guy would ever want you.,gender,bullying
150,Kids these days are so dumb.,age,bullying
151,No guy would ever want you.,gender,bullying
152,"Look at your face, disgusting.",appearance,bullying
153,No one wants your kind here.,ethnicity,bullying
154,No guy would ever want you.,gender,bullying
155,"Congrats on your promotion, well deserved!",not_cyberbullying,not_cyberbullying
156,"That movie was amazing, I highly recommend it.",not_cyberbullying,not_cyberbullying
157,"Stop spreading your beliefs, nobody cares.",religion,bullying
158,We don’t want your religious nonsense.,religion,bullying
159,"Go back to your country, you don’t belong here.",ethnicity,bullying
160,"Stop posting nonsense, nobody likes you.",other_cyberbullying,bullying
161,"You’re so ugly, nobody likes you.",appearance,bullying
162,"You speak funny, learn proper English.",ethnicity,bullying
163,"Men are always stronger, you’re weak.",gender,bullying
164,"You’re such a loser, go away.",other_cyberbullying,bullying
165,Nobody listens to old people anymore.,age,bullying
166,No one wants your kind here.,ethnicity,bullying
167,Have a great day ahead!,not_cyberbullying,not_cyberbullying
168,Your style is trash.,appearance,bullying
169,Good morning everyone! Stay positive today 😊,not_cyberbullying,not_cyberbullying
170,"Go back to your country, you don’t belong here.",ethnicity,bullying
171,"Stop spreading your beliefs, nobody cares.",religion,bullying
172,"Go play with your toys, child.",age,bullying
173,"Stop spreading your beliefs, nobody cares.",religion,bullying
174,Have a great day ahead!,not_cyberbullying,not_cyberbullying
175,"You’re too old for this app, grandpa.",age,bullying
176,"You’re such a loser, go away.",other_cyberbullying,bullying
177,People like you should not be allowed here.,religion,bullying
178,"No wonder you’re alone, you’re hideous.",appearance,bullying
179,Kids these days are so dumb.,age,bullying
180,Your religion is a joke.,religion,bullying
181,"You’re too old for this app, grandpa.",age,bullying
182,"I love this new song, it's so catchy.",not_cyberbullying,not_cyberbullying
183,"Stop posting nonsense, nobody likes you.",other_cyberbullying,bullying
184,Your style is trash.,appearance,bullying
185,"You’re too old for this app, grandpa.",age,bullying
186,"Stop posting nonsense, nobody likes you.",other_cyberbullying,bullying
187,Kids these days are so dumb.,age,bullying
188,"You throw like a girl, pathetic.",gender,bullying
189,We don’t want your religious nonsense.,religion,bullying
190,"Congrats on your promotion, well deserved!",not_cyberbullying,not_cyberbullying
191,Your faith makes no sense at all.,religion,bullying
192,You’re fat and gross.,appearance,bullying
193,"Look at your face, disgusting.",appearance,bullying
194,People like you ruin this nation.,ethnicity,bullying
195,"Stop spreading your beliefs, nobody cares.",religion,bullying
196,People like you should not be allowed here.,religion,bullying
197,"That movie was amazing, I highly recommend it.",not_cyberbullying,not_cyberbullying
198,People like you ruin this nation.,ethnicity,bullying
199,You’re the dumbest person I’ve ever met.,other_cyberbullying,bullying
200,"You’re ancient, stop embarrassing yourself.",age,bullying
201,"Go back to your country, you don’t belong here.",ethnicity,bullying
202,Have a great day ahead!,not_cyberbullying,not_cyberbullying
203,"You speak funny, learn proper English.",ethnicity,bullying
204,"Men are always stronger, you’re weak.",gender,bullying
205,"Stop posting nonsense, nobody likes you.",other_cyberbullying,bullying
206,"I love this new song, it's so catchy.",not_cyberbullying,not_cyberbullying
207,Your religion is a joke.,religion,bullying
208,Your style is trash.,appearance,bullying
